date,open,high,low,close,volume
1999-06-11,0.3456,0.3469,0.3265,0.3397,6100800
1999-06-14,0.3391,0.3397,0.3230,0.3253,5164800
1999-06-15,0.3253,0.3278,0.3205,0.3253,4929600
1999-06-16,0.3301,0.3445,0.3253,0.3349,6441600
1999-06-17,0.3326,0.3374,0.3253,0.3253,7492800
1999-06-18,0.3278,0.3278,0.3135,0.3135,15873600
1999-06-21,0.3230,0.3301,0.3142,0.3301,8347200
1999-06-22,0.3301,0.3301,0.3169,0.3242,19305600
1999-06-23,0.3205,0.3301,0.3169,0.3301,21091200
1999-06-24,0.3326,0.3326,0.3205,0.3230,11520000
1999-06-25,0.3205,0.3313,0.3205,0.3278,7353600
1999-06-28,0.3385,0.3385,0.3253,0.3326,10915200
1999-06-29,0.3374,0.3408,0.3326,0.3360,9268800
1999-06-30,0.3469,0.3661,0.3397,0.3661,26923200
1999-07-01,0.3661,0.3661,0.3278,0.3469,8899200
1999-07-02,0.3517,0.3720,0.3445,0.3720,22488000
1999-07-06,0.3757,0.3757,0.3684,0.3732,19809600
1999-07-07,0.3757,0.3757,0.3661,0.3661,6312000
1999-07-08,0.3684,0.3804,0.3565,0.3743,18604800
1999-07-09,0.3732,0.4091,0.3732,0.4061,21172800
1999-07-12,0.4306,0.4426,0.4139,0.4246,40104000
1999-07-13,0.4294,0.4317,0.4067,0.4258,13886400
1999-07-14,0.4258,0.4354,0.4067,0.4091,13795200
1999-07-15,0.4126,0.4258,0.4114,0.4114,13704000
1999-07-16,0.4187,0.4235,0.4114,0.4199,10387200
1999-07-19,0.4210,0.4222,0.4067,0.4091,4363200
1999-07-20,0.4091,0.4091,0.3875,0.4019,17875200
1999-07-21,0.3971,0.3971,0.3780,0.3900,11208000
1999-07-22,0.3875,0.3875,0.3684,0.3720,21326400
1999-07-23,0.3709,0.3827,0.3709,0.3720,8025600
1999-07-26,0.3816,0.3816,0.3732,0.3732,6052800
1999-07-27,0.3732,0.3757,0.3684,0.3743,9859200
1999-07-28,0.3732,0.3852,0.3720,0.3804,24422400
1999-07-29,0.3732,0.3852,0.3709,0.3839,38880000
1999-07-30,0.3839,0.3948,0.3827,0.3852,45230400
1999-08-02,0.3852,0.3900,0.3827,0.3887,31334400
1999-08-03,0.3887,0.3887,0.3757,0.3791,25521600
1999-08-04,0.3816,0.3827,0.3780,0.3791,8995200
1999-08-05,0.3791,0.3852,0.3732,0.3852,24057600
1999-08-06,0.3839,0.3864,0.3827,0.3852,18398400
1999-08-09,0.3791,0.3900,0.3780,0.3852,3105600
1999-08-10,0.3875,0.4091,0.3852,0.3923,21206400
1999-08-11,0.3996,0.4235,0.3948,0.4187,19771200
1999-08-12,0.4210,0.4497,0.4187,0.4390,23961600
1999-08-13,0.4354,0.4438,0.4306,0.4342,8467200
1999-08-16,0.4378,0.4378,0.4030,0.4174,22344000
1999-08-17,0.4187,0.4258,0.4078,0.4187,19353600
1999-08-18,0.4139,0.4331,0.4055,0.4283,27988800
1999-08-19,0.4581,0.5431,0.4426,0.5240,196699200
1999-08-20,0.5203,0.5240,0.4953,0.5144,35308800
1999-08-23,0.5071,0.5071,0.4666,0.4832,50798400
1999-08-24,0.4761,0.4857,0.4522,0.4796,39806400
1999-08-25,0.4821,0.4868,0.4593,0.4784,35035200
1999-08-26,0.4784,0.4857,0.4641,0.4713,27537600
1999-08-27,0.4809,0.5167,0.4784,0.4976,55238400
1999-08-30,0.5060,0.5155,0.4748,0.4958,15864000
1999-08-31,0.4976,0.5406,0.4880,0.5383,78686400
1999-09-01,0.5383,0.5383,0.5048,0.5131,56534400
1999-09-02,0.4964,0.5096,0.4857,0.5071,34108800
1999-09-03,0.5167,0.5240,0.5071,0.5108,25886400
1999-09-07,0.5192,0.5192,0.5060,0.5083,12441600
1999-09-08,0.5096,0.5131,0.5071,0.5071,17006400
1999-09-09,0.5119,0.5155,0.4905,0.5000,20947200
1999-09-10,0.5083,0.5144,0.5048,0.5071,16742400
1999-09-13,0.5096,0.5096,0.4857,0.4905,17443200
1999-09-14,0.4905,0.4905,0.4736,0.4761,25036800
1999-09-15,0.4700,0.4857,0.4666,0.4796,21273600
1999-09-16,0.4736,0.4784,0.4618,0.4677,15811200
1999-09-17,0.4646,0.4689,0.4497,0.4666,17164800
1999-09-20,0.4581,0.4641,0.4497,0.4497,22910400
1999-09-21,0.4401,0.4426,0.4007,0.4067,73732800
1999-09-22,0.4067,0.4187,0.3827,0.4162,37598400
1999-09-23,0.4174,0.4187,0.3780,0.3816,37958400
1999-09-24,0.3827,0.3923,0.3205,0.3469,68491200
1999-09-27,0.3695,0.3757,0.3469,0.3684,43200000
1999-09-28,0.3690,0.4067,0.3684,0.4019,41318400
1999-09-29,0.4103,0.4258,0.3636,0.3695,59404800
1999-09-30,0.3827,0.3948,0.3636,0.3684,34252800
1999-10-01,0.3624,0.3757,0.3469,0.3661,34776000
1999-10-04,0.3780,0.3791,0.3684,0.3732,17760000
1999-10-05,0.3732,0.4114,0.3732,0.4091,47808000
1999-10-06,0.4103,0.4784,0.4067,0.4581,150873600
1999-10-07,0.4773,0.4773,0.4258,0.4283,48729600
1999-10-08,0.4283,0.4629,0.4114,0.4497,39892800
1999-10-11,0.4533,0.4545,0.4258,0.4378,54446400
1999-10-12,0.4401,0.4449,0.4306,0.4317,32299200
1999-10-13,0.4269,0.4269,0.4114,0.4199,28036800
1999-10-14,0.4210,0.4210,0.4067,0.4114,19233600
1999-10-15,0.3912,0.4114,0.3900,0.4091,21072000
1999-10-18,0.4103,0.4103,0.3852,0.3875,21518400
1999-10-19,0.3996,0.3996,0.3647,0.3720,30892800
1999-10-20,0.3780,0.3900,0.3720,0.3852,34872000
1999-10-21,0.3839,0.4030,0.3732,0.4030,38212800
1999-10-22,0.4019,0.4246,0.4019,0.4126,28675200
1999-10-25,0.4103,0.4162,0.3923,0.3923,21384000
1999-10-26,0.4091,0.4449,0.4067,0.4306,48124800
1999-10-27,0.4331,0.4354,0.4044,0.4114,21412800
1999-10-28,0.4139,0.4210,0.3900,0.3923,22276800
1999-10-29,0.3971,0.4306,0.3948,0.4235,33052800
1999-11-01,0.4162,0.4666,0.4162,0.4497,78254400
1999-11-02,0.4581,0.4809,0.4545,0.4784,83750400
1999-11-03,0.4976,0.5383,0.4939,0.5251,201168000
1999-11-04,0.5310,0.5730,0.5310,0.5586,126033600
1999-11-05,0.5741,0.5789,0.5144,0.5406,61636800
1999-11-08,0.5240,0.5718,0.5071,0.5561,47001600
1999-11-09,0.5550,0.5575,0.5263,0.5479,27235200
1999-11-10,0.5496,0.5502,0.5322,0.5431,14404800
1999-11-11,0.5431,0.6101,0.5310,0.5814,56270400
1999-11-12,0.6064,0.6124,0.5718,0.6124,50150400
